XP,Occ Skills,SACorMS,Stat,Arch Ben,AB or C+2OS
0,0,0,0,0,0
1,0,0,0,0,0
2,2,0,0,0,0
3,2,0,0,0,0
4,2,1,0,0,0
5,2,1,0,0,0
6,2,1,1,0,0
7,2,1,1,0,0
8,4,1,1,0,0
9,4,1,1,0,0
10,4,2,1,0,0
11,4,2,1,0,0
12,4,2,1,1,0
13,4,2,1,1,0
14,4,2,1,1,0
15,4,2,2,1,0
16,4,2,2,1,0
17,4,2,2,1,0
18,6,2,2,1,0
19,6,2,2,1,0
20,6,2,2,1,0
21,6,3,2,1,0
22,6,3,2,1,0
23,6,3,2,1,0
24,6,3,3,1,0
25,6,3,3,1,0
26,6,3,3,1,0
27,8,3,3,1,0
28,8,3,3,1,0
29,8,3,3,1,0
30,8,3,3,1,1
31,8,3,3,1,1
32,8,3,3,1,1
33,8,4,3,1,1
34,8,4,3,1,1
35,8,4,3,1,1
36,8,4,4,1,1
37,8,4,4,1,1
38,8,4,4,1,1
39,10,4,4,1,1
40,10,4,4,1,1
41,10,4,4,1,1
42,10,5,4,1,1
43,10,5,4,1,1
44,10,5,4,1,1
45,10,5,5,1,1
46,10,5,5,1,1
47,10,5,5,1,1
48,10,5,5,1,1
49,10,5,5,1,1
50,10,5,5,2,1
51,10,5,5,2,1
52,10,5,5,2,1
53,10,5,5,2,1
54,10,5,5,2,1
55,12,5,5,2,1
56,12,5,5,2,1
57,12,5,5,2,1
58,12,5,5,2,1
59,12,5,5,2,1
60,12,6,5,2,1
61,12,6,5,2,1
62,12,6,5,2,1
63,12,6,5,2,1
64,12,6,5,2,1
65,12,6,6,2,1
66,12,6,6,2,1
67,12,6,6,2,1
68,12,6,6,2,1
69,12,6,6,2,1
70,14,6,6,2,1
71,14,6,6,2,1
72,14,6,6,2,1
73,14,6,6,2,1
74,14,6,6,2,1
75,14,7,6,2,1
76,14,7,6,2,1
77,14,7,6,2,1
78,14,7,6,2,1
79,14,7,6,2,1
80,14,7,6,2,2
81,14,7,6,2,2
82,14,7,6,2,2
83,14,7,6,2,2
84,14,7,6,2,2
85,14,7,7,2,2
86,14,7,7,2,2
87,14,7,7,2,2
88,14,7,7,2,2
89,14,7,7,2,2
90,16,7,7,2,2
91,16,7,7,2,2
92,16,7,7,2,2
93,16,7,7,2,2
94,16,7,7,2,2
95,16,8,7,2,2
96,16,8,7,2,2
97,16,8,7,2,2
98,16,8,7,2,2
99,16,8,7,2,2
100,16,8,8,2,2
101,16,8,8,2,2
102,16,8,8,2,2
103,16,8,8,2,2
104,16,8,8,2,2
105,18,8,8,2,2
106,18,8,8,2,2
107,18,8,8,2,2
108,18,8,8,2,2
109,18,8,8,2,2
110,18,8,8,2,3
111,18,8,8,2,3
112,18,8,8,2,3
113,18,8,8,2,3
114,18,8,8,2,3
115,18,9,8,2,3
116,18,9,8,2,3
117,18,9,8,2,3
118,18,9,8,2,3
119,18,9,8,2,3
120,18,9,9,2,3
121,18,9,9,2,3
122,18,9,9,2,3
123,18,9,9,2,3
124,18,9,9,2,3
125,20,9,9,2,3
126,20,9,9,2,3
127,20,9,9,2,3
128,20,9,9,2,3
129,20,9,9,2,3
130,20,10,9,2,3
131,20,10,9,2,3
132,20,10,9,2,3
133,20,10,9,2,3
134,20,10,9,2,3
135,20,10,10,2,3
136,20,10,10,2,3
137,20,10,10,2,3
138,20,10,10,2,3
139,20,10,10,2,3
140,20,10,10,3,3
141,20,10,10,3,3
142,20,10,10,3,3
143,20,10,10,3,3
144,20,10,10,3,3
145,22,10,10,3,3
146,22,10,10,3,3
147,22,10,10,3,3
148,22,10,10,3,3
149,22,10,10,3,3
150,22,11,10,3,3
